access-location,nanoseconds
arr[62088],1404
arr[48481],1422
arr[119067],1392
arr[203610],1392
arr[230306],1326
arr[246440],1326
arr[196613],1344
arr[200803],1428
arr[4118],1386
arr[36640],1422
arr[27290],1434
arr[139086],1404
arr[45770],1398
arr[181737],1434
arr[249799],1398
arr[129244],1440
arr[64744],1398
arr[245254],1410
arr[154335],1434
arr[231079],1398
arr[176938],1416
arr[101672],1434
arr[82387],1320
arr[246484],1308
arr[43855],1428
arr[244650],1302
arr[65119],1410
arr[59862],1428
arr[69727],1416
arr[69013],1458
arr[135559],1422
arr[148168],1452
arr[133846],1728
arr[20978],1446
arr[101778],1392
arr[130504],1488
arr[17419],1392
arr[64744],1338
arr[81308],1362
arr[21537],1452
arr[117736],1440
arr[124950],1428
arr[176976],1410
arr[163506],1404
arr[73039],1410
arr[193127],1428
arr[59102],1410
arr[137783],1416
arr[188381],1356
arr[229789],1422
arr[135214],1410
arr[131671],1686
arr[97813],1440
arr[217602],1338
arr[128155],1494
arr[141668],1434
arr[212252],1434
arr[193274],1422
arr[217882],1416
arr[48331],1380
arr[28639],1428
arr[119793],1410
arr[196499],1464
arr[162486],1428
arr[140772],1464
arr[64630],1398
arr[59342],1434
arr[158191],1422
arr[129374],1356
arr[140650],1416
arr[196080],1380
arr[247110],1434
arr[31952],1416
arr[139408],1380
arr[176968],1446
arr[104991],1440
arr[82535],1416
arr[2422],1356
arr[9127],1338
arr[37268],1470
arr[232211],1452
arr[144341],1494
arr[168939],1548
arr[96377],1410
arr[111943],1356
arr[63446],1464
arr[238045],1446
arr[90547],1434
arr[23073],1380
arr[222280],1482
arr[155231],1452
arr[51712],1326
arr[92073],1608
arr[101730],1308
arr[230550],1452
arr[232845],1344
arr[182712],1464
arr[39893],1422
arr[157388],1674
arr[78438],1452
arr[196895],1416
arr[103469],1404
arr[91900],1452
arr[245200],1416
arr[242877],1314
arr[18868],1434
arr[116543],1302
arr[91765],1434
arr[37642],1380
arr[125670],1428
arr[145385],1386
arr[36206],1410
arr[20012],1434
arr[80677],1440
arr[132583],1410
arr[148307],1434
arr[144123],1446
arr[136980],1422
arr[5207],1362
arr[167196],1440
arr[109260],1404
arr[160438],1422
arr[235261],1386
arr[201334],1554
